analysis,size_factor,roi_name,max,min
,0.1,V1,-1.20027608273206,-3.35358591049169
,0.1,V2,-1.14791476019412,-3.42006986496029
,0.1,V3,-1.61426154568693,-5.70929549025455
,0.11,V1,-1.19777471767605,-3.42647700146586
,0.11,V2,-1.157835148669,-3.55293595848003
,0.11,V3,-1.55166239682368,-5.71699662253489
,0.12,V1,-1.15736407484549,-3.33558070812786
,0.12,V2,-1.16661406744584,-3.52836174457818
,0.12,V3,-1.57098449067229,-5.68655908209717
,0.13,V1,-1.21358470338723,-3.46151400867401
,0.13,V2,-1.1213469711128,-3.53688021990752
,0.13,V3,-1.74789249988237,-5.56215461004946
,0.14,V1,-1.19938602097678,-3.48198518646367
,0.14,V2,-1.15713467605356,-3.65473942944689
,0.14,V3,-1.58100107758431,-5.50273170719558
,0.15,V1,-1.18443777588095,-3.43015059866669
,0.15,V2,-1.12562432680984,-3.30482999202967
,0.15,V3,-1.54669663810885,-5.64374628877858
,0.16,V1,-1.22406740048191,-3.40915769843487
,0.16,V2,-1.14370761102479,-3.6349536755555
,0.16,V3,-1.66962305944984,-5.79966740722623
,0.17,V1,-1.18012426731904,-3.51289295813083
,0.17,V2,-1.13968284150052,-3.49891274441007
,0.17,V3,-1.53072521703872,-5.7828228846115
,0.18,V1,-1.19001215092402,-3.43339562345505
,0.18,V2,-1.14284091560661,-3.56295854016962
,0.18,V3,-1.62757813236349,-5.95897985304021
,0.19,V1,-1.21857219296019,-3.40500502711286
,0.19,V2,-1.12629002678903,-3.52114763241296
,0.19,V3,-1.55662242870946,-5.96582634103093
,0.2,V1,-1.24737306936997,-3.57091908554138
,0.2,V2,-1.13313386648248,-3.62412598133406
,0.2,V3,-1.52317970391848,-5.89270816035168
,0.21,V1,-1.17493668751815,-3.51510495531938
,0.21,V2,-1.11503184082078,-3.46128503778311
,0.21,V3,-1.59814030437702,-5.98731336911855
,0.22,V1,-1.1749226236833,-3.53363308462889
,0.22,V2,-1.1644515150053,-3.68685666215684
,0.22,V3,-1.60049593730929,-5.99016984222186
,0.23,V1,-1.23427965261135,-3.63214355822684
,0.23,V2,-1.11105311672258,-3.63323862166945
,0.23,V3,-1.57980773948833,-6.13418438173431
,0.24,V1,-1.16922196619029,-3.46817995909321
,0.24,V2,-1.13762124696631,-3.69047780668107
,0.24,V3,-1.66589838746909,-6.09828258297563
,0.25,V1,-1.18400440885241,-3.60359219977635
,0.25,V2,-1.15960855502501,-3.68688001651038
,0.25,V3,-1.60746976041721,-6.00617946151123
,0.26,V1,-1.22847178998721,-3.63946836754448
,0.26,V2,-1.10773866409271,-3.55356149270059
,0.26,V3,-1.60363080806796,-6.20787396385409
,0.27,V1,-1.2024411715273,-3.45750051131657
,0.27,V2,-1.14760085802014,-3.57024794274259
,0.27,V3,-1.54685563779235,-6.34184323102835
,0.28,V1,-1.2217332412587,-3.57533816636051
,0.28,V2,-1.16481706450012,-3.69864664256841
,0.28,V3,-1.5525103904989,-6.33723088476042
,0.29,V1,-1.2009034499755,-3.61839006496961
,0.29,V2,-1.14660562430063,-3.65675677618122
,0.29,V3,-1.63491531665499,-6.29473198587578
,0.3,V1,-1.20411276163603,-3.68721472923713
,0.3,V2,-1.15175967887636,-3.54724940977077
,0.3,V3,-1.55713481709644,-6.31725130692677
,0.31,V1,-1.20295540214718,-3.70100098027632
,0.31,V2,-1.13994917918382,-3.74489461597579
,0.31,V3,-1.62800391656897,-6.27361445591131
,0.32,V1,-1.17791279021616,-3.6297354878554
,0.32,V2,-1.15064136876503,-3.67105153608302
,0.32,V3,-1.75635307340793,-6.33983196149961
,0.33,V1,-1.21616038860753,-3.5983101206908
,0.33,V2,-1.14579262284646,-3.77465780297705
,0.33,V3,-1.74863749021941,-6.47803694054111
,0.34,V1,-1.19496026882511,-3.66415918336384
,0.34,V2,-1.15377338542326,-3.72685000259153
,0.34,V3,-1.58975699610749,-6.6697671163958
,0.35,V1,-1.16556768490249,-3.70842676971517
,0.35,V2,-1.10946040399356,-3.70309432640634
,0.35,V3,-1.64750370378392,-6.68635511658843
,0.36,V1,-1.23286505630756,-3.5292624807345
,0.36,V2,-1.13793343486919,-3.79479691882177
,0.36,V3,-1.5989950601666,-6.67727563266873
,0.37,V1,-1.17689294158308,-3.64291553700242
,0.37,V2,-1.13530963219001,-3.77594740642412
,0.37,V3,-1.5756189225228,-6.75292059652034
,0.38,V1,-1.16184748017574,-3.67316056234678
,0.38,V2,-1.10819318353539,-3.79253712915542
,0.38,V3,-1.64799887324449,-6.715583233765
,0.39,V1,-1.21755567975399,-3.76664709754094
,0.39,V2,-1.10941288157676,-3.7507184216367
,0.39,V3,-1.63899396383781,-6.75486123619431
,0.4,V1,-1.20658539568201,-3.7257205454018
,0.4,V2,-1.11634241626128,-3.78042849020993
,0.4,V3,-1.70637957916546,-6.82563141927806
,0.41,V1,-1.20992381487966,-3.77810031613611
,0.41,V2,-1.12504838595186,-3.72365992490517
,0.41,V3,-1.68940420940315,-6.86020592506484
,0.42,V1,-1.15772126843561,-3.69580095840178
,0.42,V2,-1.08105389230369,-3.77890954462555
,0.42,V3,-1.66517990420869,-7.21740997336689
,0.43,V1,-1.23244489594035,-3.698273691418
,0.43,V2,-1.07644652595095,-3.85958826999085
,0.43,V3,-1.6470540941326,-6.82564807747499
,0.44,V1,-1.14946240209391,-3.85607369147753
,0.44,V2,-1.08942706783976,-3.835685924737
,0.44,V3,-1.63458446954238,-7.09314084788348
,0.45,V1,-1.16848146552634,-3.87504853939399
,0.45,V2,-1.09227500840432,-3.80419103691398
,0.45,V3,-1.72171672489851,-7.0746838601408
,0.46,V1,-1.12634549575451,-3.79620421924597
,0.46,V2,-1.09914856203821,-3.98366486555661
,0.46,V3,-1.74727356132397,-7.06535138784203
,0.47,V1,-1.17542803853114,-3.78536691991429
,0.47,V2,-1.09747897306465,-3.88590577334155
,0.47,V3,-1.6628339411969,-6.85255273057758
,0.48,V1,-1.18317453502705,-3.93563721231503
,0.48,V2,-1.11096288283591,-3.76903991013944
,0.48,V3,-1.69467147769284,-7.05697761431591
,0.49,V1,-1.16055566863043,-3.83111017437653
,0.49,V2,-1.11236207581631,-3.89362152258874
,0.49,V3,-1.74831770760862,-7.06912108139533
,0.5,V1,-1.12815578796568,-3.75909194846123
,0.5,V2,-1.08493076135326,-3.95103008088634
,0.5,V3,-1.63937918650697,-7.11073494469212
,0.51,V1,-1.12469259934798,-3.84934953960824
,0.51,V2,-1.06118390816461,-4.05354737235742
,0.51,V3,-1.72840245391894,-7.05684723652509
,0.52,V1,-1.15178764728499,-3.95198023393002
,0.52,V2,-1.08356743544676,-4.13837950523364
,0.52,V3,-1.72637322048535,-6.92288106240378
,0.53,V1,-1.06937861317665,-3.99875759824676
,0.53,V2,-1.11327264863683,-3.82520273889493
,0.53,V3,-1.70574894857005,-7.17647370289832
